VirtualBoy,USA,3-D Tetris ,https://archive.org/download/vb_20240121/3-D%20Tetris%20%28USA%29.vb
VirtualBoy,Japan,Bound High   ,https://archive.org/download/vb_20240121/Bound%20High%20%28Japan%29%20%28En%29%20%28Proto%29.vb
VirtualBoy,JapanUSA,Galactic Pinball  ,https://archive.org/download/vb_20240121/Galactic%20Pinball%20%28Japan%2C%20USA%29%20%28En%29.vb
VirtualBoy,USA,Golf ,https://archive.org/download/vb_20240121/Golf%20%28USA%29.vb
VirtualBoy,Japan,Insmouth no Yakata ,https://archive.org/download/vb_20240121/Insmouth%20no%20Yakata%20%28Japan%29.vb
VirtualBoy,USA,Jack Bros. ,https://archive.org/download/vb_20240121/Jack%20Bros.%20%28USA%29.vb
VirtualBoy,Japan,Jack Bros. no Meiro de Hiihoo! ,https://archive.org/download/vb_20240121/Jack%20Bros.%20no%20Meiro%20de%20Hiihoo%21%20%28Japan%29.vb
VirtualBoy,JapanUSA,Mario Clash  ,https://archive.org/download/vb_20240121/Mario%20Clash%20%28Japan%2C%20USA%29%20%28En%29.vb
VirtualBoy,JapanUSA,Mario's Tennis  ,https://archive.org/download/vb_20240121/Mario%27s%20Tennis%20%28Japan%2C%20USA%29%20%28En%29.vb
VirtualBoy,USA,Nester's Funky Bowling ,https://archive.org/download/vb_20240121/Nester%27s%20Funky%20Bowling%20%28USA%29.vb
VirtualBoy,Japan,Niko-chan Battle  ,https://archive.org/download/vb_20240121/Niko-chan%20Battle%20%28Japan%29%20%28Proto%29.vb
VirtualBoy,USA,Panic Bomber ,https://archive.org/download/vb_20240121/Panic%20Bomber%20%28USA%29.vb
VirtualBoy,Japan,Red Alarm ,https://archive.org/download/vb_20240121/Red%20Alarm%20%28Japan%29.vb
VirtualBoy,USA,Red Alarm ,https://archive.org/download/vb_20240121/Red%20Alarm%20%28USA%29.vb
VirtualBoy,Japan,SD Gundam - Dimension War ,https://archive.org/download/vb_20240121/SD%20Gundam%20-%20Dimension%20War%20%28Japan%29.vb
VirtualBoy,Japan,Space Invaders - Virtual Collection ,https://archive.org/download/vb_20240121/Space%20Invaders%20-%20Virtual%20Collection%20%28Japan%29.vb
VirtualBoy,Japan,Space Pinball   ,https://archive.org/download/vb_20240121/Space%20Pinball%20%28Japan%29%20%28En%29%20%28Proto%29.vb
VirtualBoy,Japan,Space Squash ,https://archive.org/download/vb_20240121/Space%20Squash%20%28Japan%29.vb
VirtualBoy,Japan,T&E Virtual Golf ,https://archive.org/download/vb_20240121/T%26E%20Virtual%20Golf%20%28Japan%29.vb
VirtualBoy,JapanUSA,Teleroboxer  ,https://archive.org/download/vb_20240121/Teleroboxer%20%28Japan%2C%20USA%29%20%28En%29.vb
VirtualBoy,Japan,Tobidase! Panibon ,https://archive.org/download/vb_20240121/Tobidase%21%20Panibon%20%28Japan%29.vb
VirtualBoy,Japan,V-Tetris ,https://archive.org/download/vb_20240121/V-Tetris%20%28Japan%29.vb
VirtualBoy,Japan,Vertical Force ,https://archive.org/download/vb_20240121/Vertical%20Force%20%28Japan%29.vb
VirtualBoy,USA,Vertical Force ,https://archive.org/download/vb_20240121/Vertical%20Force%20%28USA%29.vb
VirtualBoy,Japan,Virtual Bowling ,https://archive.org/download/vb_20240121/Virtual%20Bowling%20%28Japan%29.vb
VirtualBoy,JapanUSA,Virtual Boy Wario Land  ,https://archive.org/download/vb_20240121/Virtual%20Boy%20Wario%20Land%20%28Japan%2C%20USA%29%20%28En%29.vb
VirtualBoy,Japan,Virtual Fishing ,https://archive.org/download/vb_20240121/Virtual%20Fishing%20%28Japan%29.vb
VirtualBoy,Japan,Virtual Lab ,https://archive.org/download/vb_20240121/Virtual%20Lab%20%28Japan%29.vb
VirtualBoy,USA,Virtual League Baseball ,https://archive.org/download/vb_20240121/Virtual%20League%20Baseball%20%28USA%29.vb
VirtualBoy,Japan,Virtual Pro Yakyuu '95 ,https://archive.org/download/vb_20240121/Virtual%20Pro%20Yakyuu%20%2795%20%28Japan%29.vb
VirtualBoy,USA,Waterworld ,https://archive.org/download/vb_20240121/Waterworld%20%28USA%29.vb
Nintendo DS,France,A Prendre ou a LaisserLe Jeu Officiel ,https://archive.org/download/NintendoDSRomCollectionByGhostware/A%20Prendre%20ou%20a%20LaisserLe%20Jeu%20Officiel%20%28France%29.nds
Nintendo DS,Japan,A Ressha de Ikou DS  [b],https://archive.org/download/NintendoDSRomCollectionByGhostware/A%20Ressha%20de%20Ikou%20DS%20%28Japan%29%20%5Bb%5D.nds
Nintendo DS,Australia,AFL Mascot Manor  [b],https://archive.org/download/NintendoDSRomCollectionByGhostware/AFL%20Mascot%20Manor%20%28Australia%29%20%5Bb%5D.nds
Nintendo DS,Japan,ALC no punkan Eigo MasterChuukyuu ,https://archive.org/download/NintendoDSRomCollectionByGhostware/ALC%20no%20punkan%20Eigo%20MasterChuukyuu%20%28Japan%29.nds
Nintendo DS,Japan,ALC no punkan Eigo MasterJoukyuu  ,https://archive.org/download/NintendoDSRomCollectionByGhostware/ALC%20no%20punkan%20Eigo%20MasterJoukyuu%20%28Japan%29%20%28Rev%20%29.nds
Nintendo DS,Japan,ALC no punkan Eigo MasterShokyuu ,https://archive.org/download/NintendoDSRomCollectionByGhostware/ALC%20no%20punkan%20Eigo%20MasterShokyuu%20%28Japan%29.nds
Nintendo DS,Europe,AMF Bowling Pinbusters!  ,https://archive.org/download/NintendoDSRomCollectionByGhostware/AMF%20Bowling%20Pinbusters%21%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.nds
Nintendo DS,USA,AMF Bowling Pinbusters! ,https://archive.org/download/NintendoDSRomCollectionByGhostware/AMF%20Bowling%20Pinbusters%21%20%28USA%29.nds
Nintendo DS,Japan,ANA OriginalGotouchi Kentei DS ,https://archive.org/download/NintendoDSRomCollectionByGhostware/ANA%20OriginalGotouchi%20Kentei%20DS%20%28Japan%29.nds
Nintendo DS,Japan,ASHArchaic Sealed Heat ,https://archive.org/download/NintendoDSRomCollectionByGhostware/ASHArchaic%20Sealed%20Heat%20%28Japan%29.nds
Nintendo DS,Europe,ATV Quad Frenzy  ,https://archive.org/download/NintendoDSRomCollectionByGhostware/ATV%20Quad%20Frenzy%20%28Europe%29%20%28En%2CFr%2CDe%29.nds
Nintendo DS,USA,ATV Quad Frenzy ,https://archive.org/download/NintendoDSRomCollectionByGhostware/ATV%20Quad%20Frenzy%20%28USA%29.nds
Nintendo DS,Europe,ATV Quad Kings  ,https://archive.org/download/NintendoDSRomCollectionByGhostware/ATV%20Quad%20Kings%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%2CNl%29.nds
Nintendo DS,USA,ATV Wild Ride ,https://archive.org/download/NintendoDSRomCollectionByGhostware/ATV%20Wild%20Ride%20%28USA%29.nds
Nintendo DS,Germany,Ab durch die Hecke ,https://archive.org/download/NintendoDSRomCollectionByGhostware/Ab%20durch%20die%20Hecke%20%28Germany%29.nds
Nintendo DS,Europe,Ace Attorney InvestigationsMiles Edgeworth ,https://archive.org/download/NintendoDSRomCollectionByGhostware/Ace%20Attorney%20InvestigationsMiles%20Edgeworth%20%28Europe%29.nds
Nintendo DS,USA,Ace Attorney InvestigationsMiles Edgeworth ,https://archive.org/download/NintendoDSRomCollectionByGhostware/Ace%20Attorney%20InvestigationsMiles%20Edgeworth%20%28USA%29.nds
Nintendo DS,World,Acekard R.P.G.  ,https://archive.org/download/NintendoDSRomCollectionByGhostware/Acekard%20R.P.G.%20%28World%29%20%28Unl%29.nds
